"哲学专业(Philosophy)是培养具有一定马克思主义哲学理论素养和系统的专业基础知识，能运用科学的世界观和方法论分析当代世界与中国的现实问题的应用型、复合型高级专门人才的学科。哲学专业开设的课程主要有：伦理学、宗教学、美学、逻辑学、人类学、心理学、管理哲学、中国现代哲学、现代西方哲学、马克思主义哲学经典选读、中外哲学原著导读等.他们具有一定的哲学理论思维能力、创新能力、口头与文字表达能力、社会活动能力和一定的科研能力，具有较高外语水平的理论研究人才以及能在国家机关、文教事业新闻出版、企业等部门从事实际工作。","哲学类","哲学","1","哲学",\N,\N,\N,\N,"10101",\N
"逻辑学研究思维规律的学问。逻辑和逻辑学的发展，经过了具象逻辑—抽象逻辑—具象逻辑与抽象逻辑相统一的对称逻辑三大阶段.本专业以逻辑学为核心，横跨多学科，培养文理交叉、理论与应用相结合的复合型高级人才。逻辑学专业学生主要学习逻辑学、数学、计算机科学和哲学方面的基本理论和基础知识，受到公理化方法、形式化方法和语义分析方面的基本训练，具有专业研究的基本能力,鼓励学生向逻辑学与哲学、逻辑学与数学、逻辑学与法学、逻辑学与计算机科学等四个方向发展。","哲学类","哲学","2","逻辑学",\N,\N,\N,\N,"10102",\N
"宗教学是一门研究人类宗教现象及其历史演变的综合性学科。它研究各大宗教的历史与理论，研究人类宗教的起源、宗教与人类其他精神活动的关系、宗教对社会生活的影响、宗教与政治的关系等方面的基本问题。为适应社会对复合型宗教学人才的需要，宗教学专业的课程设置既重视专业基础，也注重宗教学与其他人文社会科学的交叉，在专业培养方面具有国际化程度高的优势。宗教学专业学生主要学习宗教学的基本理论，较全面地了解世界各大宗教的历史与现状，以及我国的宗教法规和政策，受到独立思考、分析问题、社会调研等方面的基本训练。","哲学类","哲学","3","宗教学",\N,\N,\N,\N,"010103K",\N
"伦理学以道德现象为研究对象，不仅包括道德意识现象（如个人的道德情感等），而且包括道德活动现象（如道德行为等）以及道德规范现象等。伦理学将道德现象从人类活动中区分开来，探讨道德的本质、起源和发展，道德水平同物质生活水平之间的关系，道德的最高原则和道德评价的标准，道德规范体系，道德的教育和修养，人生的意义、人的价值和生活态度等问题。","哲学类","哲学","4","伦理学",\N,\N,\N,\N,"010104T",\N
"经济学专业是（包括经济学方向和投资经济方向）为适应我国市场经济发展需要而设立的一个理论兼应用型本科专业。该专业培养具备比较扎实的经济学理论基础，熟悉现代经济学理论，比较熟练地掌握现代经济分析方法，知识面较宽，具有向经济学相关领域扩展渗透的能力，能在综合经济管理部门、政策研究部门，金融机构和企业从事经济分析、预测、规划和经济管理工作的高级专门人才。","经济学类","经济学","5","经济学",\N,\N,\N,\N,"20101",\N
"经济统计学专业是统计学在经济领域中的应用学科，是以经济数据为研究对象，包括经济数据的采集、生成和传输，用统计方法分析经济数据背后的经济现象以及复杂经济系统的规律，从而为经济和管理决策服务。","经济学类","经济学","6","经济统计学",\N,\N,\N,\N,"20102",\N
"国民经济管理专业培养具有扎实、广搏的经济学、管理学理论基础，熟练掌握宏观经济学管理知识和专业技能的复合型高级专门人才。毕业生能在各级政府部门、大中型企业、社会中介机构、研究机构从事经济分析、预测、决策、规划、咨询和经济管理等工作。国民经济管理专业是适应市场经济条件下，经济、社会发展对宏观经济管理的需要而设立的应用经济学科。该学科教学与科研的主攻方向是：国民经济学的基本理论与方法，主要研究经济增长与经济发展、市场经济条件下的政府行为等宏观经济管理理论、宏观经济计量模型与方法的应用；国民经济运行与宏观调控，主要研究社会主义宏观经济学、转轨中的国民经济运行、市场经济与宏观调控；地区经济与城市发展的理论等。","经济学类","经济学","7","国民经济管理",\N,\N,\N,\N,"020103T",\N
"资源与环境经济学是运用经济学原理研究自然资源环境的发展与保护的经济学分支学科，是经济学研究向自然科学世袭领地的扩展和进入，是经济学和资源环境科学两大学科交叉形成的一门新兴学科。 2012年经教育部调整本科专业目录，将“环境经济”与“环境资源与发展经济学”合并为资源与环境经济学。该专业为教育部特设专业。","经济学类","经济学","8","资源与环境经济学",\N,\N,\N,\N,"0020104T",\N
"商务经济学专业是教育部特设专业，代码020105T，隶属学科门类：经济学（02）-经济学类（0201），是教育部2012年新增的特设专业.本专业培养具有社会责任、实践能力、创新创业精神、国际视野的应用型人才，使学生经过本科教育，掌握在企业、政府等部门从事商务工作的基本业务能力，能应用经济分析和数据处理方法，具有现代经济与管理理念，能胜任商务实践活动的商科人才.","经济学类","经济学","9","商务经济学",\N,\N,\N,\N,"020105T",\N
"能源经济学作为经济学一个新的分支，起始于20世纪70年代的石油冲击。20世纪80年代中期以后，随着环境问题的凸显，能源可持续性问题被提到议事日程上。同时，国外一些著名大学如耶鲁大学、哈佛大学、麻省理工、斯坦福大学等纷纷设立能源研究中心，开设能源经济方面课程。比如，耶鲁大学管理学院开设能源经济与环境课程；哈佛大学文理学院、肯尼迪学院开设了环境经济学与能源政策、可再生能源的技术经济与公共政策分析、能源政策分析：技术、系统与市场等；麻省理工能源与环境政策研究中心开设了能源经济学课程；斯坦福大学经济系开设了自然资源与能源经济学课程。 中国能源经济学科相对于其他传统经济学科还比较弱小。能源经济专业于2010年8月经教育部批准设立，2011年开始招生，只招收理科生。主要培养面向21世纪的具有较高专业素养、较强应用技能和科研能力的能源经济专门人才。它将能源和经济结合起来，包括能源的战略选择、能源的融资、能源的预测、能源企业的组织形式等，以能源为研究对象，涉及到经济管理方面的内容。","经济学类","经济学","10","能源经济",\N,\N,\N,\N,"020106T",\N
